V6993,38.41246266,14.94489167,108.103
V6995,38.40962029,14.96097163,125.863
V6996,38.407847,14.94875893,33.1149
V7009,38.40956296,14.9529923,28.9796
V7010,38.40605156,14.96693979,288.73
V7011,38.41089252,14.94398503,144.348
V7069,38.3986499,14.96762124,178.368
V7074,38.40484812,14.98236804,176.55
V7076,38.39598926,14.9557602,109.237
V7077,38.41098544,14.96933379,60.3515
V7087,38.40269554,14.98131973,222.501
V7091,38.4115956,14.95579095,14.6866
V7099,38.41593147,14.94986594,15.3385
V7101,38.40390476,14.95185615,48.8327
V7136,38.41802958,14.95925061,5.52511
V7140,38.40585055,14.95487894,128.724
V7144,38.39344072,14.96117537,265.107
V7145,38.40608821,14.95829878,258.902
V7147,38.39016213,14.98508584,375.702
V7148,38.39565541,14.94834832,184.386
V7176,38.40292902,14.96658076,372.277
V7177,38.42499189,14.9619577,50.1329
V7183,38.42381214,14.96091607,37.3258
V7185,38.38339031,14.98136582,386.729
V7188,38.39477785,14.96237348,172.588
V7193,38.40768496,14.95683488,125.458
V7194,38.39379934,14.98599221,381.078
V7195,38.40090317,14.9597681,274.246
V7197,38.38528297,14.97417783,339.774
V7201,38.39424223,14.95789966,185.188
V7202,38.40189952,14.95494023,124.554
V7205,38.39404795,14.97705712,323.391
V7206,38.3920543,14.97618884,333.718
V7209,38.40719547,14.96478712,247.819
V7214,38.42622973,14.95805612,37.6916
V7218,38.38485749,14.96564618,338.655
V7228,38.40868658,14.94105242,123.885
V7230,38.39228469,14.95518191,311.819
V7236,38.42136633,14.95498038,5.21743
V7243,38.3891811,14.97132708,310.444
V7245,38.38872317,14.97007822,310.583
V7246,38.40466019,14.96646215,352.429
V7248,38.39640066,14.97880197,313.967
V7249,38.40647051,14.95024251,37.2057
V7250,38.3986625,14.94850535,110.247
V7251,38.39273984,14.9520944,254.769
V7255,38.41364878,14.94695575,57.1377
V7264,38.39018885,14.97293545,323.691
V7278,38.42661455,14.96013333,53.4486
V7291,38.39345649,14.96610583,197.707
V7294,38.40304618,14.943264,145.296
V7295,38.40379532,14.96879404,315.802
V7301,38.38461349,14.98717164,405.15
V7303,38.41164765,14.94906783,22.2127
V7309,38.38674243,14.96980154,324.342
V7313,38.387715,14.99070976,429.853
V7324,38.38939436,14.95382505,265.894
V7342,38.41074012,14.95725369,26.0692
V7344,38.3895191,14.9510538,197.54
V7345,38.40203684,14.97200689,167.792
V7349,38.40727535,14.96839876,277.619
V7352,38.39451841,14.96881931,183.126
V7360,38.38382117,14.96944298,334.766
V7362,38.39059237,14.99117251,386.434
V7367,38.40145999,14.95742197,205.699
V7370,38.38774477,14.96047496,453.661
V7372,38.38778578,14.98892423,397.194
V7373,38.40810418,14.96646361,285.786
V7374,38.38142369,14.97791813,377.651
W6446,38.39967334,14.951067,60.5962
W6492,38.40026137,14.95076219,54.3565
W6757,38.39936175,14.95150065,60.3617
W6758,38.40033372,14.95239222,57.7288
W6790,38.39958771,14.95207687,59.007
W7082,38.40055751,14.95139308,54.0832
W7168,38.39893733,14.95051273,74.9509
W7172,38.39857291,14.95191386,66.7846
W7258,38.39937176,14.95281978,61.3053
W7361,38.39898111,14.95139164,61.5799
