code,network,station,id,longitude,latitude,elevation
CO1013,SS,22751,SS.22751,7.133116,47.406538,495.7
CO0530,SS,22759,SS.22759,7.019241,47.419635,532.3
GL0323,SS,22761,SS.22761,7.214168,47.325818,554.9
SO0340,SS,22763,SS.22763,7.074798,47.314299,494.7
BA0446,SS,22765,SS.22765,7.256145,47.359296,580.8
ST0376,SS,22766,SS.22766,7.139276,47.334752,452.5
DE0514,SS,22769,SS.22769,7.362662,47.387787,408.1
GL0382,SS,22771,SS.22771,7.196969,47.339718,549.0
CO0627,SS,22772,SS.22772,7.177628,47.40569,593.9
DE0425,SS,22775,SS.22775,7.339628,47.363435,422.2
ST0343,SS,22776,SS.22776,7.10733,47.319529,503.4
DE0367,SS,22784,SS.22784,7.356564,47.350508,455.7
BU1001,SS,22789,SS.22789,7.02351,47.430718,589.7
CO1050,SS,22790,SS.22790,7.408686,47.364314,469.2
PO1004,SS,22796,SS.22796,7.059056,47.421891,540.2
ST0523,SS,22797,SS.22797,7.157144,47.369864,524.2
CO0362,SS,22798,SS.22798,7.297058,47.34797,583.9
CO2055,SS,22799,SS.22799,7.362284,47.344609,439.3
CH0306,SS,22800,SS.22800,7.338473,47.331646,503.6
CO1054,SS,22801,SS.22801,7.455423,47.36287,576.5
CO2043,SS,22802,SS.22802,7.310497,47.342419,450.1
UN0234,SS,22803,SS.22803,7.203096,47.302175,592.5
CO0368,SS,22804,SS.22804,7.366064,47.350015,426.0
AL0682,SS,22805,SS.22805,7.123128,47.41675,479.8
ME0568,SS,22806,SS.22806,7.344129,47.397244,577.5
CO2044,SS,22808,SS.22808,7.317604,47.340403,446.2
UN0265,SS,22815,SS.22815,7.21784,47.311765,526.5
GL0354,SS,22816,SS.22816,7.21879,47.332641,497.5
CO0645,SS,22820,SS.22820,7.123261,47.401396,491.0
PL0696,SS,22824,SS.22824,7.279345,47.432829,550.2
BA0355,SS,22826,SS.22826,7.229837,47.337516,489.3
CH0678,SS,22828,SS.22828,6.991902,47.397594,555.3
DE0482,SS,22832,SS.22832,7.327344,47.376105,563.2
GL0350,SS,22841,SS.22841,7.186685,47.326383,548.4
CH0689,SS,22844,SS.22844,7.194679,47.426946,505.4
BO0473,SS,22845,SS.22845,7.233021,47.364585,588.0
CO0273,SS,22847,SS.22847,7.298384,47.322865,584.5
VE0147,SS,22849,SS.22849,7.139939,47.458892,457.8
BA2027,SS,22855,SS.22855,7.252836,47.333174,498.3
CO2040,SS,22856,SS.22856,7.302327,47.337605,450.3
ST0495,SS,22857,SS.22857,7.158186,47.361142,520.2
SO0539,SS,22858,SS.22858,7.375017,47.394462,455.3
BA2022,SS,22862,SS.22862,7.221511,47.332598,494.8
OC0486,SS,22863,SS.22863,7.064078,47.349802,553.7
RO0366,SS,22867,SS.22867,7.345577,47.348281,453.7
CO0427,SS,22869,SS.22869,7.362419,47.365408,413.6
ST0494,SS,22870,SS.22870,7.147869,47.362676,500.3
DE1036,SS,22874,SS.22874,7.309895,47.371887,556.2
MI0701,SS,22876,SS.22876,7.182257,47.429315,499.3
AL0683,SS,22878,SS.22878,7.103091,47.429262,510.7
MI0686,SS,22879,SS.22879,7.165229,47.422277,479.7
CO0360,SS,22880,SS.22880,7.283827,47.344031,520.9
DE0397,SS,22882,SS.22882,7.352486,47.356407,421.5
BA0445,SS,22884,SS.22884,7.244665,47.358156,499.0
CO2060,SS,22885,SS.22885,7.382898,47.348118,430.4
BA0325,SS,22887,SS.22887,7.241656,47.327238,542.25
CO2035,SS,22888,SS.22888,7.284866,47.340023,506.6
DE1040,SS,22890,SS.22890,7.335126,47.363186,438.9
UN0237,SS,22891,SS.22891,7.229937,47.304389,598.7
DE0481,SS,22892,SS.22892,7.313995,47.374875,586.5
CO0623,SS,22898,SS.22898,7.125993,47.395983,513.8
DE0483,SS,22899,SS.22899,7.334421,47.377288,551.6
BO0413,SS,22906,SS.22906,7.218638,47.349859,509.9
DE0393,SS,22908,SS.22908,7.306269,47.353958,544.6
BA0418,SS,22910,SS.22910,7.26754,47.354283,544.8
BR0680,SS,22916,SS.22916,7.029947,47.382338,568.6
ST0467,SS,22917,SS.22917,7.169914,47.355193,444.1
VE2047,SS,22919,SS.22919,7.150615,47.438463,483.7
